,time_utc,18_evening,12_evening,6_evening,18_morning,12_morning,6_morning
2023-02-01,2023-02-01,2459976.7285559834,2459976.7103484985,2459976.6919870675,2459977.15385815,2459977.1720438297,2459977.190382235
2023-02-02,2023-02-02,2459977.7288826243,2459977.71069818,2459977.6923632524,2459978.1537068933,2459978.171869543,2459978.1901821676
2023-02-03,2023-02-03,2459978.729204604,2459978.711043005,2459978.6927344347,2459979.1535412786,2459979.1716811056,2459979.189968133
2023-02-04,2023-02-04,2459979.7295219307,2459979.711382944,2459979.693100549,2459980.1533614057,2459980.171478654,2459980.1897403
2023-02-05,2023-02-05,2459980.729834629,2459980.7117179856,2459980.693461542,2459981.1531673865,2459981.171262334,2459981.189498848
2023-02-06,2023-02-06,2459981.730142734,2459981.7120481282,2459981.693817379,2459982.152959342,2459982.1710325987,2459982.189243962
2023-02-07,2023-02-07,2459982.730446294,2459982.712373386,2459982.6941680354,2459983.1527374033,2459983.170789663,2459983.1889758385
2023-02-08,2023-02-08,2459983.7307453677,2459983.712693784,2459983.694513501,2459984.15250171,2459984.1705333586,2459984.188694678
2023-02-09,2023-02-09,2459984.731040023,2459984.7130093556,2459984.694853055,2459985.1522524087,2459985.1702638594,2459985.188400688
2023-02-10,2023-02-10,2459985.7313303356,2459985.7133201445,2459985.695187101,2459986.151989653,2459986.1699813474,2459986.188094082
2023-02-11,2023-02-11,2459986.7316163876,2459986.7136262013,2459986.695516045,2459987.1517136013,2459987.1696860082,2459987.187775077
2023-02-12,2023-02-12,2459987.7318982654,2459987.713927581,2459987.6958399117,2459988.151424418,2459988.169378032,2459988.1874438934
2023-02-13,2023-02-13,2459988.732176058,2459988.7142243427,2459988.6961587286,2459989.15112227,2459989.169057612,2459989.187100753
2023-02-14,2023-02-14,2459989.732449854,2459989.7145165447,2459989.696472524,2459990.150807663,2459990.1687249416,2459990.18674588
2023-02-15,2023-02-15,2459990.732719738,2459990.7148041595,2459990.6967813275,2459991.1504806112,2459991.1683802144,2459991.1863794955
2023-02-16,2023-02-16,2459991.732985791,2459991.7150868205,2459991.6970851617,2459992.1501410767,2459992.168023622,2459992.186001818
2023-02-17,2023-02-17,2459992.7332480843,2459992.7153651244,2459992.6973840436,2459993.1497892174,2459993.1676553497,2459993.1856130604
2023-02-18,2023-02-18,2459993.7335066805,2459993.7156391074,2459993.6976779825,2459994.1494251876,2459994.167275577,2459994.1852134285
2023-02-19,2023-02-19,2459994.7337616323,2459994.715908798,2459994.697966981,2459995.149049135,2459995.1668844777,2459995.1848031203
2023-02-20,2023-02-20,2459995.734012991,2459995.716174222,2459995.69825104,2459996.1486612074,2459996.166482223,2459996.18438274
2023-02-21,2023-02-21,2459996.7342608096,2459996.716435409,2459996.6985301645,2459997.148261557,2459997.1660689902,2459997.183952594
2023-02-22,2023-02-22,2459997.73450515,2459997.7166923992,2459997.698804371,2459998.147850348,2459998.165644966,2459998.1835123342
2023-02-23,2023-02-23,2459998.7347460897,2459998.716945247,2459998.699073693,2459999.1474277633,2459999.1652103546,2459999.1830621823
2023-02-24,2023-02-24,2459999.7349836454,2459999.717194026,2459999.6993381814,2460000.1469940045,2460000.1647653785,2460000.1826023785
2023-02-25,2023-02-25,2460000.7352178968,2460000.717438829,2460000.6995979105,2460001.146549292,2460001.1643104297,2460001.1821331796
2023-02-26,2023-02-26,2460001.735449129,2460001.717679768,2460001.699852971,2460002.1460938626,2460002.163846007,2460002.1816548575
2023-02-27,2023-02-27,2460002.7356774877,2460002.717916969,2460002.700103472,2460003.145627968,2460003.163371924,2460003.1811676947
2023-02-28,2023-02-28,2460003.735903132,2460003.718150574,2460003.7003495377,2460004.14515187,2460004.162888455,2460004.180671984
2023-03-01,2023-03-01,2460004.7361262315,2460004.7183807353,2460004.700591305,2460005.1446658396,2460005.162395885,2460005.1801680243
2023-03-02,2023-03-02,2460005.7363469657,2460005.7186076166,2460005.700828922,2460006.1441701953,2460006.161894504,2460006.179656123
2023-03-03,2023-03-03,2460006.736565523,2460006.7188313906,2460006.701062548,2460007.143665246,2460007.1613846095,2460007.1791365896
2023-03-04,2023-03-04,2460007.7367820987,2460007.7190522393,2460007.7012923504,2460008.1431511356,2460008.1608665045,2460008.178609741
2023-03-05,2023-03-05,2460008.7369968947,2460008.719270351,2460008.701518315,2460009.1426281594,2460009.160340496,2460009.1780758975
2023-03-06,2023-03-06,2460009.7372101215,2460009.7194859223,2460009.7017408046,2460010.1420966177,2460010.1598068965,2460010.177535678
2023-03-07,2023-03-07,2460010.737421993,2460010.719699157,2460010.7019600705,2460011.1415568152,2460011.159266022,2460011.176989256
2023-03-08,2023-03-08,2460011.73763273,2460011.719910263,2460011.702176311,2460012.1410090616,2460012.158718193,2460012.176436731
2023-03-09,2023-03-09,2460012.7378425566,2460012.720119455,2460012.7023897297,2460013.14045367,2460013.1581637305,2460013.1758784316
2023-03-10,2023-03-10,2460013.7380516976,2460013.720326948,2460013.7026005345,2460014.139890956,2460014.157602959,2460014.1753146863
2023-03-11,2023-03-11,2460014.7382603805,2460014.7205329603,2460014.7028089343,2460015.1393212373,2460015.157036143,2460015.174745826
2023-03-12,2023-03-12,2460015.7384688286,2460015.7207377064,2460015.703015138,2460016.138744832,2460016.1564635653,2460016.1741721784
2023-03-13,2023-03-13,2460016.738677262,2460016.720941399,2460016.7032193504,2460017.1381620592,2460017.1558855474,2460017.173594072
2023-03-14,2023-03-14,2460017.7388858926,2460017.7211442436,2460017.703421772,2460018.1375732245,2460018.155302409,2460018.173011831
2023-03-15,2023-03-15,2460018.739094923,2460018.7213464365,2460018.7036225935,2460019.1369779813,2460019.154714467,2460019.172425775
2023-03-16,2023-03-16,2460019.739304543,2460019.721548206,2460019.7038219967,2460020.1363771833,2460020.1541220313,2460020.1718362183
2023-03-17,2023-03-17,2460020.7395149283,2460020.7217497886,2460020.704020149,2460021.1357711335,2460021.1535254065,2460021.1712434674
2023-03-18,2023-03-18,2460021.739726239,2460021.7219512756,2460021.7042172044,2460022.1351601253,2460022.152924888,2460022.170647673
2023-03-19,2023-03-19,2460022.739938618,2460022.722152807,2460022.704413302,2460023.1345444443,2460023.152320761,2460023.170049138
2023-03-20,2023-03-20,2460023.740152194,2460023.7223545113,2460023.704608568,2460024.1339243692,2460024.151713302,2460024.169448159
2023-03-21,2023-03-21,2460024.7403670847,2460024.7225565054,2460024.7048031194,2460025.1333001717,2460025.151102781,2460025.1688450044
2023-03-22,2023-03-22,2460025.7405834016,2460025.7227589004,2460025.704997068,2460026.1326721245,2460026.150488777,2460026.1682399386
2023-03-23,2023-03-23,2460026.740801253,2460026.722961807,2460026.705190524,2460027.132040505,2460027.1498720134,2460027.1676332317
2023-03-24,2023-03-24,2460027.7410207507,2460027.723165339,2460027.7053836035,2460028.1314056,2460028.1492528897,2460028.16702516
2023-03-25,2023-03-25,2460028.7412420125,2460028.7233696156,2460028.705576429,2460029.130767443,2460029.148631697,2460029.16641601
2023-03-26,2023-03-26,2460029.741465161,2460029.723574765,2460029.7057691314,2460030.1301251748,2460030.1480087372,2460030.165806076
